balancing table (10).jpg,intermediate_balancing_table,637.1432,453.84872,-599.32587,616.968,433.0763,-653.66254,619.46844,429.35193,-653.5165,622.55176,425.36993,-653.52966,610.9857,433.80267,-585.33276,609.2131,430.641,-585.5301,607.7228,427.19366,-585.47766,647.6833,395.6187,-768.41376,628.8543,399.82288,-450.87,666.1933,447.66183,-630.1897,659.51526,451.14456,-539.52167,812.2187,415.02222,-882.9859,721.7112,396.17853,-267.44138,840.538,639.0223,-996.5103,512.2442,389.31042,-214.28503,806.01697,822.3648,-1052.8296,295.92715,362.44504,-368.0641,766.7835,847.0267,-1179.8676,239.85156,348.78232,-429.67517,752.9077,837.1184,-1134.1559,233.56482,349.9189,-473.57733,769.0305,830.36755,-1040.1588,252.47377,355.3722,-396.58533,1111.823,489.69742,-243.06476,1034.5278,523.77295,241.92012,1367.5891,452.7146,-129.94351,1026.8008,779.4345,128.92215,1605.0742,343.22186,229.36432,1256.1202,759.85974,671.9379,1616.487,311.71536,263.30878,1288.7516,722.31134,720.3717,1724.5999,356.77847,37.67336,1366.2769,786.8031,650.68225
balancing table (100).jpg,intermediate_balancing_table,502.3422,406.62985,-417.9333,485.31967,380.87274,-431.03827,489.30267,374.33112,-430.95093,493.63788,367.56607,-430.82242,478.0636,392.98883,-369.56894,477.18317,394.4743,-369.64386,476.30264,395.62167,-369.32303,522.58276,342.9145,-390.88474,499.5297,375.36838,-96.0589,540.15485,403.07236,-394.59628,531.95087,416.18765,-309.95996,652.67786,399.05225,-583.5334,637.5335,377.48996,230.11313,663.7094,641.8619,-748.28455,401.7496,397.53577,329.7878,650.8691,875.817,-757.5204,203.0658,379.4165,79.667305,615.39954,900.8929,-845.63464,152.96414,361.3731,24.941612,604.5304,890.6321,-791.33466,149.36949,357.37253,-22.681805,622.96686,883.4513,-735.9263,161.98677,360.93405,43.712563,1097.0573,521.4563,-281.51706,1043.9071,565.0287,279.8874,1428.1976,535.2423,-226.55927,1054.3667,837.62195,219.39851,1739.7446,448.35248,23.881174,1365.2421,757.2068,621.0283,1793.1257,413.12973,38.337723,1410.302,712.76495,649.81995,1808.9003,567.3655,-251.79442,1444.2751,860.23315,603.8893
balancing table (101).jpg,intermediate_balancing_table,511.09668,437.3063,-304.4818,498.90506,413.91006,-345.1757,501.5952,410.885,-345.21155,504.46844,408.24234,-345.16403,496.30286,414.82758,-267.67502,497.1426,412.5673,-267.76593,498.18277,410.48993,-267.7266,530.7163,384.39804,-429.52466,520.2871,389.14474,-74.50364,541.06934,438.99292,-330.42627,538.2425,439.73917,-228.31067,663.9519,400.54346,-648.4255,634.67883,412.6327,180.41461,697.5304,609.1752,-836.1261,454.99368,518.0329,273.0524,684.1468,818.20514,-879.48804,274.06305,549.9327,57.45435,664.8965,849.79535,-979.16864,225.54497,538.1609,-0.31094453,651.42596,840.9714,-972.46924,221.56454,529.73987,-49.44723,657.75824,832.8181,-878.63306,239.90308,531.78876,18.323235,1065.4341,495.27512,-276.09583,1017.47784,551.41095,275.46826,1358.4668,535.6888,-297.34094,1012.5419,785.6186,239.05104,1669.26,496.2897,-142.02171,1292.2777,692.82025,681.9494,1727.3562,464.59247,-140.59282,1334.1199,643.4941,714.86865,1706.8953,638.594,-471.1268,1349.15,809.93304,642.28546
balancing table (102).jpg,intermediate_balancing_table,621.5573,400.50208,-185.80135,600.3329,369.6837,-226.6643,602.333,365.38748,-226.62285,604.7069,360.6199,-226.52197,600.4576,370.30698,-142.28026,602.3612,366.66632,-142.41177,604.5492,362.54404,-142.51448,636.2661,332.75558,-324.2978,637.2351,336.6387,54.274582,651.2558,401.01297,-213.31068,653.40576,403.0745,-103.90152,747.6662,359.8942,-556.1559,791.3125,366.83987,334.35324,477.3871,391.46057,-889.66003,793.0323,610.1722,537.26373,230.20099,385.20825,-894.6285,745.5845,766.1859,306.5907,168.86731,377.93533,-1013.72,694.426,779.0773,321.01166,164.20428,370.89526,-948.6129,687.9391,780.8594,200.17029,189.60045,374.02026,-876.73334,705.44836,779.7935,249.36856,1170.0189,486.6409,-291.08084,1201.6687,433.47467,290.42606,1194.6207,826.7738,-183.48076,1485.0833,427.25992,591.709,1505.2703,816.1582,261.6612,1760.2771,391.22964,928.843,1537.9054,779.8912,319.1496,1795.5704,377.75684,968.47205,1636.2716,891.23517,392.85373,1858.9353,433.9975,928.3624
balancing table (103).jpg,intermediate_balancing_table,1414.0321,372.17737,67.9463,1426.7113,345.4879,102.4502,1425.2859,342.8808,102.52582,1423.9202,340.29025,102.671135,1427.0481,343.12408,12.694334,1425.9825,338.75262,12.832673,1424.9838,334.31833,13.130209,1392.6562,314.15454,285.1749,1396.3909,308.32343,-118.40611,1383.2075,378.53082,150.67482,1384.8234,373.04895,32.871113,1235.6061,348.70087,615.8546,1280.8933,343.7126,-365.50272,1215.8933,580.2079,848.48114,1500.4182,442.0106,-688.8276,1238.6946,782.033,663.0451,1729.2833,445.05734,-668.58386,1280.8494,795.07965,699.1487,1793.1979,450.67984,-787.80347,1291.9443,797.1452,564.8512,1797.6476,430.85284,-689.2479,1274.9987,797.6754,601.7747,1779.1487,427.15033,-640.1614,769.96136,424.07574,307.9576,800.8566,482.89258,-308.9921,466.82285,507.69196,583.8858,745.5339,817.4567,-228.6783,173.84657,496.2626,875.64465,403.16962,766.9915,172.15239,118.181076,473.44263,909.8561,375.2067,726.94885,223.43362,139.05762,603.255,912.92645,274.38577,828.90015,295.2648
balancing table (104).jpg,intermediate_balancing_table,578.7128,378.26257,-106.38991,588.5457,355.94565,-150.67303,592.8868,354.67575,-150.6852,597.4179,353.09244,-150.61284,586.03705,356.19153,-85.19664,588.40106,355.39764,-85.20275,591.0879,354.12433,-84.91289,633.7436,356.61337,-255.03001,622.1457,354.47043,49.833733,600.3098,397.39426,-138.16544,597.159,397.85403,-50.718586,704.46295,440.81012,-421.95203,688.91003,412.30167,218.83464,696.0521,637.9463,-488.3215,526.97974,414.94162,267.3699,675.6709,815.9959,-472.6041,377.07562,374.5792,152.26837,639.58813,823.4979,-563.33435,333.91977,360.62595,119.563,632.88904,812.90375,-505.52524,332.49527,355.57846,74.183754,646.5411,811.06433,-453.0404,348.60614,360.95618,124.44609,1048.8739,531.93823,-209.07483,1032.0696,563.83044,208.4816,1322.977,487.0262,-234.75775,1060.745,758.76074,56.20215,1569.4924,396.38797,-92.05694,1300.5435,720.5489,307.54907,1589.6401,364.0684,-78.01034,1318.0225,688.86694,326.02594,1702.9019,431.16852,-282.4485,1401.8484,776.1192,259.30548
balancing table (105).jpg,intermediate_balancing_table,507.12296,450.29633,-404.83243,510.39523,425.91702,-432.72452,515.13635,422.8863,-432.72693,519.6742,419.1943,-432.70352,503.4105,427.61288,-367.35928,503.11725,426.5927,-367.3195,503.04376,425.07935,-366.97748,550.6759,407.80838,-444.71338,531.5165,412.4915,-143.01094,531.44086,461.3987,-401.78864,523.9095,462.7714,-315.3016,662.3328,511.43732,-596.6851,618.50226,459.63873,152.917,620.8337,696.32306,-703.0493,474.1309,442.33188,330.88684,624.1727,877.5118,-702.33655,338.77115,442.48022,226.02391,585.92926,897.4202,-805.37305,303.41794,437.83847,215.75761,578.3946,888.6653,-745.7235,300.2075,438.28372,150.8442,594.1366,883.85785,-681.3244,313.52267,440.42282,194.37448,997.5616,568.19904,-251.29234,963.61426,589.9397,250.46619,1279.5142,568.17737,-202.96254,1004.03467,827.9198,205.13504,1526.6357,497.9351,-34.900284,1253.522,821.27264,569.4276,1568.7922,467.78638,-23.089897,1277.3779,794.14557,601.81354,1550.7244,609.8391,-254.12103,1363.6416,856.9135,545.92206
balancing table (106).jpg,intermediate_balancing_table,1300.9004,500.63638,-784.6636,1297.2062,474.34357,-757.6822,1296.6619,473.31458,-757.60724,1295.8346,472.05673,-757.81464,1288.9553,473.1467,-825.88824,1282.0386,471.63315,-826.0519,1274.3422,470.0003,-826.14716,1262.4828,467.7736,-569.68304,1232.0242,468.12534,-889.2546,1288.4481,520.23694,-708.93555,1276.823,518.4525,-801.8262,1222.3008,564.61755,-398.10577,1102.779,570.9411,-928.27875,1395.7175,583.6232,-406.49588,1094.9701,777.90643,-1057.3558,1583.6993,585.6904,-604.12225,1126.011,958.80255,-1164.8264,1631.678,583.13495,-682.9382,1168.4093,976.10864,-1296.6357,1630.725,580.1617,-740.6037,1178.9746,966.0926,-1262.0349,1612.7087,580.2813,-640.6372,1164.7708,960.06793,-1160.9149,880.56396,675.25867,180.59882,816.55334,616.0123,-180.81952,858.44275,887.2712,63.157066,573.4369,556.87885,-119.274025,638.4264,840.4657,654.6141,344.5557,486.62402,231.36275,610.0202,807.9424,711.3312,333.17178,473.35062,259.39008,543.5473,898.2727,626.4248,236.44919,499.0838,38.26896
balancing table (11).jpg,intermediate_balancing_table,1493.1987,391.2945,-102.02159,1513.789,370.90753,-74.60623,1513.3646,367.0565,-74.57086,1512.8245,362.80743,-74.47319,1514.0698,372.6536,-162.90604,1513.69,370.43118,-163.02693,1513.2339,367.86987,-163.17088,1490.3474,331.51242,94.70843,1494.7501,344.43182,-315.83185,1461.3389,386.52347,-26.100372,1460.8954,387.88098,-146.99892,1328.6282,302.95706,364.17,1353.1577,418.38586,-533.42426,1477.7206,309.17975,588.2783,1307.5438,674.1065,-673.8786,1656.2507,254.93504,709.11475,1301.0753,862.92236,-555.2521,1704.9891,225.7799,749.20746,1356.2345,896.27386,-643.74524,1711.6819,226.41129,694.73956,1366.7107,879.7189,-579.183,1696.6665,236.13747,684.4386,1346.7145,867.92145,-527.108,944.71985,473.91254,304.80252,960.1363,514.2713,-305.39572,961.57983,762.6547,422.66138,607.5598,489.84653,-188.34128,682.8894,731.0477,706.5021,289.52756,476.23572,49.167416,631.6929,696.62256,729.4624,227.49521,450.5619,64.95849,585.2869,814.3641,678.998,263.727,620.0501,-108.73374
balancing table (12).jpg,intermediate_balancing_table,590.92957,487.54147,-191.35902,575.4109,464.46475,-227.6596,578.8029,460.20764,-227.70267,582.2827,455.336,-227.74164,570.93274,468.60138,-170.82568,571.1869,467.88345,-170.867,571.57404,466.91083,-170.69345,610.94794,427.7699,-303.95917,596.8078,443.70102,-41.116173,622.8438,485.223,-213.0225,618.0051,491.2379,-137.09575,717.0036,446.3099,-493.97598,704.11584,442.9209,165.60962,713.23517,653.93353,-614.8672,511.42365,493.51642,257.4487,675.17554,863.13403,-572.9742,341.925,505.15717,89.35486,629.6664,877.9869,-657.55786,291.43948,500.2189,45.510345,620.8425,870.3313,-598.5666,290.47818,502.1993,2.0577314,636.0404,865.92456,-548.7817,308.16226,504.2334,59.82917,1071.1847,521.9732,-216.57779,1037.4966,565.5244,215.79005,1334.2593,563.9214,-178.01064,1021.067,823.06396,131.97868,1612.2612,535.9361,52.39543,1270.4347,769.6178,463.25186,1642.9875,504.87418,71.68139,1307.5955,721.7463,490.28326,1693.0845,611.332,-102.162056,1367.3472,846.7861,475.0034
